InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice,Country
52137,1102,2025-11-28 06:16:48.350205,4,273.64,USA
89832,1435,2025-04-11 06:16:48.350205,6,400.51,Australia
65561,1860,2025-06-16 06:16:48.350205,3,22.95,UK
72260,1270,2026-01-10 06:16:48.350205,1,492.09,India
25438,1106,2026-02-09 06:16:48.350205,6,230.18,Germany
58442,1071,2026-01-01 06:16:48.350205,1,182.82,UK
12994,1700,2025-04-25 06:16:48.350205,9,149.9,USA
11813,1020,2025-07-23 06:16:48.350205,1,91.31,Germany
94381,1614,2025-12-17 06:16:48.350205,6,396.83,USA
65276,1121,2025-04-07 06:16:48.350205,1,477.93,Germany
51243,1466,2025-06-24 06:16:48.350205,7,209.75,UK
72912,1214,2025-09-15 06:16:48.350205,3,476.45,India
70272,1330,2025-04-16 06:16:48.350205,6,412.78,Germany
52051,1458,2025-07-27 06:16:48.350205,7,243.12,Canada
88854,1087,2025-10-12 06:16:48.350205,1,338.64,Australia
92736,1372,2025-09-23 06:16:48.350205,1,220.32,USA
75618,1099,2025-12-24 06:16:48.350205,5,281.57,Germany
11920,1871,2025-07-29 06:16:48.350205,6,33.73,USA
87219,1663,2025-07-25 06:16:48.350205,9,349.65,India
86872,1130,2025-10-12 06:16:48.350205,1,31.15,USA
91132,1661,2025-05-03 06:16:48.350205,4,409.46,USA
12093,1308,2025-12-15 06:16:48.350205,8,413.35,Canada
22905,1769,2025-10-22 06:16:48.350205,9,122.35,USA
34351,1343,2025-12-15 06:16:48.350205,3,165.21,Germany
40981,1491,2025-03-25 06:16:48.350205,2,243.25,USA
83903,1413,2025-06-07 06:16:48.350205,4,300.35,UK
80821,1805,2025-10-01 06:16:48.350205,2,147.24,USA
92289,1385,2025-04-04 06:16:48.350205,1,298.28,UK
94021,1191,2025-10-23 06:16:48.350205,3,152.4,Australia
88513,1955,2025-04-02 06:16:48.350205,7,32.47,USA
29874,1276,2025-04-28 06:16:48.350205,1,6.25,Australia
60931,1160,2025-08-30 06:16:48.350205,2,55.07,USA
17674,1459,2025-05-23 06:16:48.350205,1,397.16,Germany
60516,1313,2025-04-07 06:16:48.350205,8,480.91,UK
70686,1021,2025-04-05 06:16:48.350205,5,216.35,Australia
79212,1252,2025-06-21 06:16:48.350205,8,258.78,Australia
12426,1747,2025-10-17 06:16:48.350205,3,77.69,UK
78498,1856,2026-01-28 06:16:48.350205,7,277.76,Canada
39943,1560,2025-06-13 06:16:48.350205,8,76.6,USA
76395,1474,2025-10-25 06:16:48.350205,6,307.55,USA
54816,1058,2025-11-03 06:16:48.350205,7,466.96,Germany
14138,1510,2025-07-05 06:16:48.350205,2,101.87,Canada
85945,1681,2025-08-19 06:16:48.350205,8,383.46,Canada
